Date;FFF 3 months;FFF 6 months;FFF 12 months;FFF 24 months
29.04.2008;204;202;241;282
28.04.2008;204;203;245;287
25.04.2008;205;205;251;293
24.04.2008;204;201;248;291
23.04.2008;204;199;237;270
22.04.2008;204;200;238;270
21.04.2008;201;196;232;265
18.04.2008;200;197;232;265
17.04.2008;195;190;219;255
16.04.2008;192;184;212;244
15.04.2008;190;181;204;230
14.04.2008;186;175;197;216
11.04.2008;185;174;194;213
10.04.2008;186;178;202;221
09.04.2008;186;176;197;216
08.04.2008;186;178;204;231
07.04.2008;189;183;207;234
04.04.2008;189;181;200;226
03.04.2008;194;187;213;240
02.04.2008;194;187;209;235
01.04.2008;191;182;200;219
31.03.2008;187;174;183;194
28.03.2008;188;176;188;201
27.03.2008;190;176;189;202
26.03.2008;191;179;191;204
25.03.2008;193;183;195;208
24.03.2008;193;187;200;212
20.03.2008;186;176;183;189
19.03.2008;180;166;170;180
18.03.2008;178;166;173;185
17.03.2008;159;143;152;164
14.03.2008;180;157;166;179
13.03.2008;198;180;189;202
12.03.2008;204;189;195;208
11.03.2008;207;194;203;220
10.03.2008;190;171;180;199
07.03.2008;190;173;185;204
06.03.2008;196;184;191;210
05.03.2008;204;190;197;215
04.03.2008;197;180;184;202
03.03.2008;199;180;186;204
29.02.2008;233;182;180;202
28.02.2008;243;201;199;228
27.02.2008;248;207;205;236
26.02.2008;252;216;213;243
25.02.2008;252;222;223;254
22.02.2008;250;213;215;246
21.02.2008;249;212;211;243
20.02.2008;252;221;227;259
19.02.2008;249;214;216;225
15.02.2008;242;204;195;195
14.02.2008;243;207;198;198
13.02.2008;242;207;198;198
12.02.2008;245;211;202;202
11.02.2008;242;208;201;201
08.02.2008;243;210;203;203
07.02.2008;244;212;206;206
06.02.2008;243;209;203;203
05.02.2008;247;212;204;210
04.02.2008;258;225;220;220
01.02.2008;258;223;222;222
31.01.2008;276;234;221;224
30.01.2008;279;243;228;231
29.01.2008;289;252;232;236
28.01.2008;286;251;224;224
25.01.2008;291;257;229;229
24.01.2008;291;260;230;230
23.01.2008;273;237;205;205
22.01.2008;283;248;211;209
18.01.2008;335;288;240;238
17.01.2008;347;300;252;250
16.01.2008;350;306;264;262
15.01.2008;350;306;264;262
14.01.2008;348;301;259;257
11.01.2008;350;302;262;260
10.01.2008;363;319;272;270
09.01.2008;367;325;276;274
08.01.2008;372;336;286;284
07.01.2008;372;337;288;286
04.01.2008;373;337;285;283
03.01.2008;381;349;299;299
02.01.2008;384;353;304;304
